23.25 1.23
23.27 1.42
23.08 1.44
23.11 1.49
23.04 1.61
23.00 1.50
23.13 1.46
23.31 1.54
23.11 1.60
23.14 1.46
23.08 1.53
23.17 1.59
23.19 1.43
23.13 1.39
23.17 1.43
23.13 1.28
23.23 1.47
23.28 1.53
23.22 1.48
23.10 1.43
23.08 1.42
23.03 1.36
23.18 1.37
23.23 1.40
23.27 1.47
23.27 1.48
23.29 1.40
23.12 1.45
23.26 1.62
23.14 1.50
23.09 1.46


x:23.23   y:1.48
x:23.14   y:1.58
x:23.24   y:1.75
x:23.21   y:1.46
x:23.28   y:1.48
x:23.27   y:1.51
x:23.28   y:1.58
x:23.42   y:1.65
x:23.33   y:1.53
x:23.33   y:1.42
x:23.36   y:1.52
x:23.25   y:1.52
x:23.19   y:1.52
x:23.22   y:1.49
x:23.24   y:1.49
x:23.02   y:1.47
x:23.20   y:1.49
x:23.06   y:1.61
x:23.26   y:1.55
x:23.20   y:1.65
x:23.23   y:1.62
x:23.19   y:1.67
x:23.38   y:1.56
x:23.30   y:1.51
x:23.19   y:1.51
x:23.14   y:1.47
x:23.27   y:1.63
x:23.30   y:1.60
x:23.16   y:1.57
x:23.26   y:1.55
x:23.20   y:1.61


12.78 2.30
12.84 2.27
12.63 2.30
12.82 2.20
12.73 2.49
12.94 2.38
12.97 2.37
13.09 2.44
13.00 2.13
12.79 2.22
12.48 2.26
12.41 2.27
12.39 2.35
12.24 2.36
12.15 2.30
12.27 2.22
12.14 2.29
12.12 2.21
12.28 2.20
12.16 2.33
12.03 2.31
12.25 2.11
12.28 2.24
12.34 2.35
12.37 2.28
12.46 2.25
12.32 2.29
12.34 2.35
12.47 2.32
12.46 2.36
12.19 2.24


